Year,Home_Team,Home_Score,Away_Score,Away_Team,Date
1893,Wales,12,11,England,1/7/1893
1893,Scotland,0,9,Wales,2/4/1893
1893,Ireland,0,4,England,2/4/1893
1893,Ireland,0,0,Scotland,2/20/1893
1893,England,0,8,Scotland,3/4/1893
1893,Wales,2,0,Ireland,3/11/1893
1894,England,24,3,Wales,1/6/1894
1894,Wales,7,0,Scotland,2/3/1894
1894,England,5,7,Ireland,2/3/1894
1894,Ireland,5,0,Scotland,2/24/1894
1894,Ireland,3,0,Wales,3/10/1894
1894,Scotland,6,0,England,3/17/1894
1895,Wales,6,14,England,1/5/1895
1895,Scotland,5,4,Wales,1/26/1895
1895,Ireland,3,6,England,2/2/1895
1895,Scotland,6,0,Ireland,3/2/1895
1895,England,3,6,Scotland,3/9/1895
1895,Wales,5,3,Ireland,3/16/1895
1896,England,25,0,Wales,1/4/1896
1896,Wales,6,0,Scotland,1/25/1896
1896,England,4,10,Ireland,2/1/1896
1896,Ireland,0,0,Scotland,2/15/1896
1896,Scotland,11,0,England,3/14/1896
1896,Ireland,8,4,Wales,3/14/1896
1896,Cape Town Clubs,9,14,British & Irish Lions,7/11/1896
1896,Cape Town Suburbs,0,8,British & Irish Lions,7/13/1896
1896,Western Province,0,0,British & Irish Lions,7/15/1896
1896,Griqualand West,9,11,British & Irish Lions,7/18/1896
1896,Griqualand West,0,16,British & Irish Lions,7/22/1896
1896,Port Elizabeth,3,26,British & Irish Lions,7/25/1896
1896,Eastern Province,0,18,British & Irish Lions,7/28/1896
1896,South Africa,0,8,British & Irish Lions,7/30/1896
1896,Grahamstown,0,20,British & Irish Lions,8/1/1896
1896,King William's Town,0,25,British & Irish Lions,8/4/1896
1896,East London,0,17,British & Irish Lions,8/6/1896
1896,Queenstown,0,25,British & Irish Lions,8/8/1896
1896,Johannesburg Country,0,7,British & Irish Lions,8/12/1896
1896,Transvaal,3,16,British & Irish Lions,8/15/1896
1896,Johannesburg Town,0,18,British & Irish Lions,8/17/1896
1896,Transvaal,5,16,British & Irish Lions,8/19/1896
1896,South Africa,8,17,British & Irish Lions,8/22/1896
1896,Cape Colony,0,7,British & Irish Lions,8/26/1896
1896,South Africa,3,9,British & Irish Lions,8/29/1896
1896,Western Province,0,32,British & Irish Lions,9/3/1896
1896,South Africa,5,0,British & Irish Lions,9/5/1896
1897,Wales,11,0,England,1/9/1897
1897,Ireland,13,9,England,2/6/1897
1897,Scotland,8,3,Ireland,2/20/1897
1897,England,12,3,Scotland,3/13/1897
1898,England,6,9,Ireland,2/5/1898
1898,Ireland,0,8,Scotland,2/19/1898
1898,Scotland,3,3,England,3/12/1898
1898,Ireland,3,11,Wales,3/19/1898
1898,England,14,7,Wales,4/2/1898
1899,Wales,26,3,England,1/7/1899
1899,Ireland,6,0,England,2/4/1899
1899,Scotland,3,9,Ireland,2/18/1899
1899,Scotland,21,10,Wales,3/4/1899
1899,England,0,5,Scotland,3/11/1899
1899,Wales,0,3,Ireland,3/18/1899
1899,Australia,13,3,British & Irish Lions,6/24/1899
1899,Australia,0,11,British & Irish Lions,7/22/1899
1899,Australia,10,11,British & Irish Lions,8/5/1899
1899,Australia,0,13,British & Irish Lions,8/12/1899
1900,England,3,13,Wales,1/6/1900
1900,Wales,12,3,Scotland,1/27/1900
1900,England,15,4,Ireland,2/3/1900
1900,Ireland,0,0,Scotland,2/24/1900
1900,Scotland,0,0,England,3/10/1900
1900,Ireland,0,3,Wales,3/17/1900
1901,Wales,13,0,England,1/5/1901
1901,Scotland,18,8,Wales,2/9/1901
1901,Ireland,10,6,England,2/9/1901
1901,Scotland,9,5,Ireland,2/23/1901
1901,England,3,18,Scotland,3/9/1901
1901,Wales,10,9,Ireland,3/16/1901
1902,England,8,9,Wales,1/11/1902
1902,Wales,14,5,Scotland,2/1/1902
1902,England,6,3,Ireland,2/8/1902
1902,Ireland,5,0,Scotland,2/22/1902
1902,Ireland,0,15,Wales,3/8/1902
1902,Scotland,3,6,England,3/15/1902
1903,Wales,21,5,England,1/10/1903
1903,Scotland,6,0,Wales,2/7/1903
1903,Ireland,6,0,England,2/14/1903
1903,Scotland,3,0,Ireland,2/28/1903
1903,Wales,18,0,Ireland,3/14/1903
1903,England,6,10,Scotland,3/21/1903
1903,Western Province Country,13,7,British & Irish Lions,7/9/1903
1903,Western Province Town,12,3,British & Irish Lions,7/11/1903
1903,Western Province,8,4,British & Irish Lions,7/13/1903
1903,Port Elizabeth,0,15,British & Irish Lions,7/18/1903
1903,Eastern Province,0,12,British & Irish Lions,7/20/1903
1903,Grahamstown,7,28,British & Irish Lions,7/22/1903
1903,King William's Town,3,37,British & Irish Lions,7/25/1903
1903,East London,5,7,British & Irish Lions,7/27/1903
1903,Griqualand West,11,0,British & Irish Lions,8/1/1903
1903,Griqualand West,8,6,British & Irish Lions,8/4/1903
1903,Transvaal,12,3,British & Irish Lions,8/8/1903
1903,Pretoria,3,15,British & Irish Lions,8/11/1903
1903,Pietermaritzburg,0,15,British & Irish Lions,8/13/1903
1903,Durban,0,22,British & Irish Lions,8/15/1903
1903,Australia,3,22,New Zealand,8/15/1903
1903,Witwatersrand,0,12,British & Irish Lions,8/19/1903
1903,Transvaal,14,4,British & Irish Lions,8/22/1903
1903,South Africa,10,10,British & Irish Lions,8/26/1903
1903,Orange River Colony,16,17,British & Irish Lions,8/29/1903
1903,Griqualand West,5,1,British & Irish Lions,9/2/1903
1903,South Africa,0,0,British & Irish Lions,9/5/1903
1903,Western Province,3,3,British & Irish Lions,9/10/1903
1903,South Africa,8,0,British & Irish Lions,9/12/1903
1904,England,14,14,Wales,1/9/1904
1904,Wales,21,3,Scotland,2/6/1904
1904,England,19,0,Ireland,2/13/1904
1904,Ireland,3,19,Scotland,2/27/1904
1904,Ireland,14,12,Wales,3/12/1904
1904,Scotland,6,3,England,3/19/1904
1904,Australia,0,17,British & Irish Lions,7/2/1904
1904,Australia,3,17,British & Irish Lions,7/23/1904
1904,Australia,0,16,British & Irish Lions,7/30/1904
1904,New Zealand,9,3,British & Irish Lions,8/13/1904
1905,Wales,25,0,England,1/14/1905
1905,Scotland,3,6,Wales,2/4/1905
1905,Ireland,17,3,England,2/11/1905
1905,Scotland,5,11,Ireland,2/25/1905
1905,Wales,10,3,Ireland,3/11/1905
1905,England,0,8,Scotland,3/18/1905
1905,New Zealand,14,3,Australia,9/2/1905
1905,Devon,4,55,New Zealand,9/16/1905
1905,Cornwall,0,41,New Zealand,9/21/1905
1905,Bristol Rugby,0,41,New Zealand,9/23/1905
1905,Northampton Saints,0,32,New Zealand,9/28/1905
1905,Leicester Tigers,0,28,New Zealand,9/30/1905
1905,Middlesex,0,34,New Zealand,10/4/1905
1905,Durham,3,16,New Zealand,10/7/1905
1905,Hartlepool Clubs,0,63,New Zealand,10/11/1905
1905,Northumberland,0,31,New Zealand,10/14/1905
1905,Gloucester Rugby,0,44,New Zealand,10/19/1905
1905,Somerset,0,23,New Zealand,10/21/1905
1905,Devonport Albion,3,21,New Zealand,10/25/1905
1905,Midland Counties,5,21,New Zealand,10/28/1905
1905,Surrey,0,11,New Zealand,11/1/1905
1905,Blackheath,0,32,New Zealand,11/4/1905
1905,Oxford University,0,47,New Zealand,11/7/1905
1905,Cambridge University,0,14,New Zealand,11/9/1905
1905,Richmond,0,17,New Zealand,11/11/1905
1905,Bedford Blues,0,41,New Zealand,11/15/1905
1905,Scotland,7,12,New Zealand,11/18/1905
1905,West of Scotland,0,22,New Zealand,11/22/1905
1905,Ireland,0,15,New Zealand,11/25/1905
1905,Munster,0,33,New Zealand,11/28/1905
1905,England,0,15,New Zealand,12/2/1905
1905,Cheltenham,0,18,New Zealand,12/6/1905
1905,Cheshire,0,34,New Zealand,12/9/1905
1905,Yorkshire,0,40,New Zealand,12/13/1905
1905,Wales,3,0,New Zealand,12/16/1905
1905,Glamorgan,0,9,New Zealand,12/20/1905
1905,Newport,3,6,New Zealand,12/23/1905
1905,Cardiff,8,10,New Zealand,12/26/1905
1905,Swansea,3,4,New Zealand,12/30/1905
1906,France,8,38,New Zealand,1/1/1906
1906,England,3,16,Wales,1/13/1906
1906,Wales,9,3,Scotland,2/3/1906
1906,England,6,16,Ireland,2/10/1906
1906,British Columbia,6,43,New Zealand,2/10/1906
1906,British Columbia,6,65,New Zealand,2/13/1906
1906,Ireland,6,13,Scotland,2/24/1906
1906,Ireland,11,6,Wales,3/10/1906
1906,Scotland,3,9,England,3/17/1906
1906,East Midlands,0,37,South Africa,9/27/1906
1906,Midland Counties,0,29,South Africa,9/29/1906
1906,Kent,0,21,South Africa,10/3/1906
1906,Durham,4,22,South Africa,10/6/1906
1906,Northumberland,0,44,South Africa,10/10/1906
1906,Yorkshire,0,34,South Africa,10/13/1906
1906,Devon,6,22,South Africa,10/17/1906
1906,Somerset,0,14,South Africa,10/20/1906
1906,Middlesex,0,9,South Africa,10/24/1906
1906,Newport,0,8,South Africa,10/27/1906
1906,Glamorgan,3,6,South Africa,10/31/1906
1906,Gloucestershire,0,23,South Africa,11/3/1906
1906,Oxford University,3,24,South Africa,11/7/1906
1906,Cambridge University,0,29,South Africa,11/10/1906
1906,South of Scotland,5,32,South Africa,11/13/1906
1906,Scotland,6,0,South Africa,11/17/1906
1906,North of Scotland,3,35,South Africa,11/20/1906
1906,Ireland,12,15,South Africa,11/24/1906
1906,Dublin University,3,28,South Africa,11/27/1906
1906,Wales,0,11,South Africa,12/1/1906
1906,England,3,3,South Africa,12/8/1906
1906,Lancashire,8,11,South Africa,12/12/1906
1906,Cumberland,0,21,South Africa,12/15/1906
1906,Surrey,0,33,South Africa,12/19/1906
1906,Cornwall,3,9,South Africa,12/22/1906
1906,Monmouthshire,0,17,South Africa,12/26/1906
1906,Llanelli,3,16,South Africa,12/29/1906
1907,Cardiff,17,0,South Africa,1/1/1907
1907,Wales,22,0,England,1/12/1907
1907,Scotland,6,3,Wales,2/2/1907
1907,Ireland,17,9,England,2/9/1907
1907,Scotland,15,3,Ireland,2/23/1907
1907,Wales,29,0,Ireland,3/9/1907
1907,England,3,8,Scotland,3/16/1907
1907,Wellington Province,6,19,New Zealand,7/6/1907
1907,New South Wales,3,11,New Zealand,7/13/1907
1907,New South Wales,14,0,New Zealand,7/17/1907
1907,Australia,6,26,New Zealand,7/20/1907
1907,Queensland,3,23,New Zealand,7/24/1907
1907,Queensland,11,17,New Zealand,7/27/1907
1907,Australia,5,14,New Zealand,8/3/1907
1907,Australia,5,5,New Zealand,8/10/1907
1908,England,18,28,Wales,1/18/1908
1908,Wales,6,5,Scotland,2/1/1908
1908,England,13,3,Ireland,2/8/1908
1908,Ireland,16,11,Scotland,2/29/1908
1908,Ireland,5,11,Wales,3/14/1908
1908,Scotland,16,10,England,3/21/1908
1908,New Zealand,32,5,British & Irish Lions,6/6/1908
1908,New Zealand,3,3,British & Irish Lions,6/27/1908
1908,New Zealand,29,0,British & Irish Lions,7/25/1908
1908,Wales,9,6,Australia,12/12/1908
1909,England,3,9,Australia,1/9/1909
1909,Wales,8,0,England,1/16/1909
1909,Scotland,3,5,Wales,2/6/1909
1909,Ireland,5,11,England,2/13/1909
1909,Scotland,9,3,Ireland,2/27/1909
1909,Wales,18,5,Ireland,3/13/1909
1909,England,8,18,Scotland,3/20/1909
1910,Wales,49,14,France,1/1/1910
1910,England,11,6,Wales,1/15/1910
1910,Scotland,27,0,France,1/22/1910
1910,Wales,14,0,Scotland,2/5/1910
1910,England,0,0,Ireland,2/12/1910
1910,Ireland,0,14,Scotland,2/26/1910
1910,France,3,11,England,3/3/1910
1910,Ireland,3,19,Wales,3/12/1910
1910,Scotland,5,14,England,3/19/1910
1910,France,3,8,Ireland,3/28/1910
1910,Argentina XV,13,17,British XV,5/26/1910
1910,South Western Districts,4,14,British & Irish Lions,6/11/1910
1910,Argentina,3,27,British XV,6/12/1910
1910,Western Province Country,3,9,British & Irish Lions,6/15/1910
1910,Western Province Colleges,3,11,British & Irish Lions,6/18/1910
1910,Western Province Town,11,11,British & Irish Lions,6/22/1910
1910,Western Province,5,3,British & Irish Lions,6/25/1910
1910,Australia,0,6,New Zealand,6/25/1910
1910,Australia,11,0,New Zealand,6/27/1910
1910,Griqualand West,8,0,British & Irish Lions,6/29/1910
1910,Transvaal,27,8,British & Irish Lions,7/2/1910
1910,Australia,13,28,New Zealand,7/2/1910
1910,Pretoria,0,17,British & Irish Lions,7/5/1910
1910,Transvaal Country Invitation XV,4,45,British & Irish Lions,7/7/1910
1910,Transvaal,13,6,British & Irish Lions,7/9/1910
1910,Natal Sharks,16,18,British & Irish Lions,7/13/1910
1910,Natal Sharks,13,19,British & Irish Lions,7/16/1910
1910,Orange River Colony,9,12,British & Irish Lions,7/20/1910
1910,Griqualand West,9,3,British & Irish Lions,7/23/1910
1910,Cape Colony,19,0,British & Irish Lions,7/27/1910
1910,South Rhodesia,11,24,British & Irish Lions,7/30/1910
1910,South Africa,14,10,British & Irish Lions,8/6/1910
1910,North Eastern Districts,8,8,British & Irish Lions,8/10/1910
1910,Border,10,30,British & Irish Lions,8/13/1910
1910,Border,13,13,British & Irish Lions,8/17/1910
1910,Eastern Province,6,14,British & Irish Lions,8/20/1910
1910,South Africa,3,8,British & Irish Lions,8/27/1910
1910,South Africa,21,5,British & Irish Lions,9/3/1910
1910,Western Province,8,0,British & Irish Lions,9/6/1910
1911,France,16,15,Scotland,1/2/1911
1911,Wales,15,11,England,1/21/1911
1911,England,37,0,France,1/28/1911
1911,Scotland,10,32,Wales,2/4/1911
1911,Ireland,3,0,England,2/11/1911
1911,Scotland,10,16,Ireland,2/25/1911
1911,France,0,15,Wales,2/28/1911
1911,Wales,16,0,Ireland,3/11/1911
1911,England,13,8,Scotland,3/18/1911
1911,Ireland,25,5,France,3/25/1911
1912,France,6,11,Ireland,1/1/1912
1912,Scotland,31,3,France,1/20/1912
1912,England,8,0,Wales,1/20/1912
1912,Wales,21,6,Scotland,2/3/1912
1912,England,15,0,Ireland,2/10/1912
1912,Ireland,10,8,Scotland,2/24/1912
1912,Ireland,12,5,Wales,3/9/1912
1912,Scotland,8,3,England,3/16/1912
1912,Wales,14,8,France,3/25/1912
1912,France,8,18,England,4/8/1912
1912,Somerset,3,24,South Africa,10/3/1912
1912,Devon,0,8,South Africa,10/5/1912
1912,Cornwall,6,15,South Africa,10/10/1912
1912,Monmouthshire,0,16,South Africa,10/12/1912
1912,Glamorgan,3,35,South Africa,10/17/1912
1912,Llanelli,7,8,South Africa,10/19/1912
1912,Newport,9,3,South Africa,10/24/1912
1912,London,8,12,South Africa,10/26/1912
1912,United Services,16,18,South Africa,10/30/1912
1912,East Midlands,5,14,South Africa,11/2/1912
1912,Oxford University,0,6,South Africa,11/6/1912
1912,Midland Counties,3,25,South Africa,11/9/1912
1912,Cambridge University,0,24,South Africa,11/14/1912
1912,London,10,8,South Africa,11/16/1912
1912,USA,8,12,Australia,11/16/1912
1912,North of England,0,17,South Africa,11/20/1912
1912,Scotland,0,16,South Africa,11/23/1912
1912,West of Scotland,3,38,South Africa,11/27/1912
1912,Ireland,0,38,South Africa,11/30/1912
1912,Ulster,0,19,South Africa,12/4/1912
1912,North of England,8,21,South Africa,12/7/1912
1912,Wales,0,3,South Africa,12/14/1912
1912,Neath,3,8,South Africa,12/19/1912
1912,Cardiff,6,7,South Africa,12/21/1912
1912,Swansea,3,0,South Africa,12/26/1912
1912,Gloucester Rugby,0,11,South Africa,12/28/1912
1913,France,3,21,Scotland,1/1/1913
1913,England,3,9,South Africa,1/4/1913
1913,France,5,38,South Africa,1/11/1913
1913,Wales,0,12,England,1/18/1913
1913,England,20,0,France,1/25/1913
1913,Scotland,0,8,Wales,2/1/1913
1913,Ireland,4,15,England,2/8/1913
1913,Scotland,29,14,Ireland,2/22/1913
1913,France,8,11,Wales,2/27/1913
1913,Wales,16,13,Ireland,3/8/1913
1913,England,3,0,Scotland,3/15/1913
1913,Ireland,24,0,France,3/24/1913
1913,New Zealand,30,5,Australia,9/6/1913
1913,New Zealand,25,13,Australia,9/13/1913
1913,New Zealand,5,16,Australia,9/20/1913
1913,USA,3,51,New Zealand,11/15/1913
1914,France,6,8,Ireland,1/1/1914
1914,England,10,9,Wales,1/17/1914
1914,Wales,24,5,Scotland,2/7/1914
1914,England,17,12,Ireland,2/14/1914
1914,Ireland,6,0,Scotland,2/28/1914
1914,Wales,31,0,France,3/2/1914
1914,Ireland,3,11,Wales,3/14/1914
1914,Scotland,15,16,England,3/21/1914
1914,France,13,39,England,4/13/1914
1914,Australia,0,5,New Zealand,7/18/1914
1914,Australia,0,17,New Zealand,8/1/1914
1914,Australia,7,22,New Zealand,8/15/1914
1919,Wales,3,6,New Zealand Army,4/21/1919
1919,US Army,21,0,Romania,6/1/1919
1919,French Army,48,5,Romania,6/2/1919
1920,France,0,5,Scotland,1/1/1920
1920,Wales,19,5,England,1/17/1920
1920,England,8,3,France,1/31/1920
1920,Scotland,9,5,Wales,2/7/1920
1920,Ireland,11,14,England,2/14/1920
1920,France,5,6,Wales,2/17/1920
1920,Scotland,19,0,Ireland,2/28/1920
1920,Wales,28,4,Ireland,3/13/1920
1920,England,13,4,Scotland,3/20/1920
1920,Ireland,7,15,France,4/3/1920
1920,Australia,15,26,New Zealand,7/24/1920
1920,Australia,6,14,New Zealand,7/31/1920
1920,Australia,13,24,New Zealand,8/7/1920
1920,South West of France,0,26,USA,10/1/1920
1920,South of France,3,14,USA,10/1/1920
1920,Selection Centre,3,6,USA,10/1/1920
1920,France,14,5,USA,10/10/1920
1921,England,18,3,Wales,1/15/1921
1921,Scotland,0,3,France,1/22/1921
1921,Wales,8,14,Scotland,2/5/1921
1921,England,15,0,Ireland,2/12/1921
1921,Wales,12,4,France,2/26/1921
1921,Ireland,9,8,Scotland,2/26/1921
1921,Ireland,0,6,Wales,3/12/1921
1921,Scotland,0,18,England,3/19/1921
1921,France,6,10,England,3/28/1921
1921,France,20,10,Ireland,4/9/1921
1921,Australia,10,25,South Africa,6/25/1921
1921,Australia,11,16,South Africa,6/27/1921
1921,Australia,9,28,South Africa,7/2/1921
1921,Metropolitan,8,14,South Africa,7/6/1921
1921,Wanganui,6,11,South Africa,7/13/1921
1921,Taranaki,0,0,South Africa,7/16/1921
1921,Wairarapa Bush,3,18,South Africa,7/20/1921
1921,Wellington,3,8,South Africa,7/23/1921
1921,West Coast / Buller,3,33,South Africa,7/27/1921
1921,Canterbury,6,4,South Africa,7/30/1921
1921,South Canterbury,3,34,South Africa,8/3/1921
1921,Southland,0,12,South Africa,8/6/1921
1921,Otago,3,11,South Africa,8/10/1921
1921,New Zealand,13,5,South Africa,8/13/1921
1921,Manawatu / Horowhenua,0,3,South Africa,8/17/1921
1921,Auckland-North Auckland,8,24,South Africa,8/20/1921
1921,Bay of Plenty,9,17,South Africa,8/24/1921
1921,New Zealand,5,9,South Africa,8/27/1921
1921,Waikato,0,6,South Africa,8/31/1921
1921,Hawke's Bay / Poverty Bay,8,14,South Africa,9/3/1921
1921,New Zealand,0,17,Australia,9/3/1921
1921,New Zealand Maori,8,9,South Africa,9/7/1921
1921,Nelson Bays / Marlborough / Golden Bay / Motueka,3,26,South Africa,9/10/1921
1921,New Zealand,0,0,South Africa,9/17/1921
1922,France,3,3,Scotland,1/2/1922
1922,Wales,28,6,England,1/21/1922
1922,Scotland,9,9,Wales,2/4/1922
1922,Ireland,3,12,England,2/11/1922
1922,England,11,11,France,2/25/1922
1922,Scotland,6,3,Ireland,2/25/1922
1922,Wales,11,5,Ireland,3/11/1922
1922,England,11,5,Scotland,3/18/1922
1922,France,3,11,Wales,3/23/1922
1922,Ireland,8,3,France,4/8/1922
1922,Australia,22,25,New Zealand Maori,6/24/1922
1922,Australia,28,13,New Zealand Maori,6/26/1922
1922,Australia,22,23,New Zealand Maori,7/8/1922
1922,Australia,19,26,New Zealand,7/29/1922
1922,Australia,14,8,New Zealand,8/5/1922
1922,Australia,8,6,New Zealand,8/7/1922
1923,Scotland,16,3,France,1/20/1923
1923,England,7,3,Wales,1/20/1923
1923,Wales,8,11,Scotland,2/3/1923
1923,England,23,5,Ireland,2/10/1923
1923,Wales,16,8,France,2/24/1923
1923,Ireland,3,13,Scotland,2/24/1923
1923,Ireland,5,4,Wales,3/10/1923
1923,Scotland,6,8,England,3/17/1923
1923,France,3,12,England,4/2/1923
1923,France,14,8,Ireland,4/14/1923
1923,Australia,27,23,New Zealand Maori,6/16/1923
1923,Australia,21,16,New Zealand Maori,6/23/1923
1923,Australia,14,12,New Zealand Maori,6/25/1923
1923,New Zealand,19,9,Australia,8/25/1923
1923,New Zealand,34,6,Australia,9/1/1923
1923,New Zealand,38,11,Australia,9/15/1923
1924,France,12,10,Scotland,1/1/1924
1924,Wales,9,17,England,1/19/1924
1924,Ireland,6,0,France,1/26/1924
1924,Scotland,35,10,Wales,2/2/1924
1924,Ireland,3,14,England,2/9/1924
1924,England,19,7,France,2/23/1924
1924,Scotland,13,8,Ireland,2/23/1924
1924,Wales,10,13,Ireland,3/8/1924
1924,England,19,0,Scotland,3/15/1924
1924,France,6,10,Wales,3/27/1924
1924,Australia,20,16,New Zealand,7/5/1924
1924,Metropolitan,5,38,New Zealand,7/9/1924
1924,Western Province Town & Country,7,6,British & Irish Lions,7/12/1924
1924,Australia,5,21,New Zealand,7/12/1924
1924,Western Province Universities,8,9,British & Irish Lions,7/15/1924
1924,Australia,8,38,New Zealand,7/16/1924
1924,Griqualand West,0,26,British & Irish Lions,7/19/1924
1924,Rhodesia,3,16,British & Irish Lions,7/24/1924
1924,Western Transvaal,7,8,British & Irish Lions,7/30/1924
1924,Transvaal,12,12,British & Irish Lions,8/2/1924
1924,Free State Country,6,0,British & Irish Lions,8/6/1924
1924,Free State,6,3,British & Irish Lions,8/9/1924
1924,Natal Sharks,3,3,British & Irish Lions,8/13/1924
1924,South Africa,7,3,British & Irish Lions,8/16/1924
1924,Witwatersrand,10,6,British & Irish Lions,8/20/1924
1924,South Africa,17,0,British & Irish Lions,8/23/1924
1924,Pretoria,6,0,British & Irish Lions,8/27/1924
1924,Cape Province,3,13,British & Irish Lions,8/30/1924
1924,North Eastern Districts,12,20,British & Irish Lions,9/3/1924
1924,Border,3,12,British & Irish Lions,9/6/1924
1924,Eastern Province,14,6,British & Irish Lions,9/10/1924
1924,South Africa,3,3,British & Irish Lions,9/13/1924
1924,South Africa,16,9,British & Irish Lions,9/20/1924
1924,Western Province,6,8,British & Irish Lions,9/25/1924
1924,South Western Districts,6,12,British & Irish Lions,10/16/1924
1924,Ireland,0,6,New Zealand,11/1/1924
1924,Wales,0,19,New Zealand,11/29/1924
1925,France,3,9,Ireland,1/1/1925
1925,England,11,17,New Zealand,1/3/1925
1925,England,12,6,Wales,1/17/1925
1925,France,6,30,New Zealand,1/18/1925
1925,Scotland,25,4,France,1/24/1925
1925,Wales,14,24,Scotland,2/7/1925
1925,England,6,6,Ireland,2/14/1925
1925,Wales,11,5,France,2/28/1925
1925,Ireland,8,14,Scotland,2/28/1925
1925,Ireland,19,3,Wales,3/14/1925
1925,Scotland,14,11,England,3/21/1925
1925,France,11,13,England,4/13/1925
1925,Australia,3,26,New Zealand,6/13/1925
1925,Australia,0,4,New Zealand,6/20/1925
1925,Australia,3,11,New Zealand,6/23/1925
1925,New Zealand,36,10,Australia,9/19/1925
1926,France,6,20,Scotland,1/2/1926
1926,Wales,3,3,England,1/16/1926
1926,Ireland,11,0,France,1/23/1926
1926,Scotland,8,5,Wales,2/6/1926
1926,Ireland,19,15,England,2/13/1926
1926,England,11,0,France,2/27/1926
1926,Scotland,0,3,Ireland,2/27/1926
1926,Wales,11,8,Ireland,3/13/1926
1926,England,9,17,Scotland,3/20/1926
1926,France,5,7,Wales,4/5/1926
1926,Australia,26,20,New Zealand,7/10/1926
1926,Australia,6,11,New Zealand,7/17/1926
1926,Australia,0,14,New Zealand,7/20/1926
1926,Australia,21,28,New Zealand,7/29/1926
1926,France,3,12,New Zealand Maori,12/26/1926
1927,France,3,8,Ireland,1/1/1927
1927,England,11,9,Wales,1/15/1927
1927,Scotland,23,6,France,1/22/1927
1927,Wales,0,5,Scotland,2/5/1927
1927,England,8,6,Ireland,2/12/1927
1927,Wales,25,7,France,2/26/1927
1927,Ireland,6,0,Scotland,2/26/1927
1927,Ireland,19,9,Wales,3/12/1927
1927,Scotland,21,13,England,3/19/1927
1927,France,3,0,England,4/2/1927
1927,Ireland,3,5,Australia,11/12/1927
1927,Wales,8,18,Australia,11/26/1927
1927,Scotland,10,8,Australia,12/17/1927
1928,France,6,15,Scotland,1/2/1928
1928,England,18,11,Australia,1/7/1928
1928,Wales,8,10,England,1/21/1928
1928,France,8,11,Australia,1/22/1928
1928,Ireland,12,8,France,1/28/1928
1928,Scotland,0,13,Wales,2/4/1928
1928,Ireland,6,7,England,2/11/1928
1928,England,18,8,France,2/25/1928
1928,Scotland,5,13,Ireland,2/25/1928
1928,Wales,10,13,Ireland,3/10/1928
1928,England,6,0,Scotland,3/17/1928
1928,France,8,3,Wales,4/9/1928
1928,Western Province Country,3,11,New Zealand,5/30/1928
1928,Western Province Town,7,3,New Zealand,6/2/1928
1928,Griqualand West,10,19,New Zealand,6/6/1928
1928,Transvaal,6,0,New Zealand,6/9/1928
1928,Free State,0,20,New Zealand,6/13/1928
1928,Transvaal,0,5,New Zealand,6/16/1928
1928,Western Transvaal,8,19,New Zealand,6/20/1928
1928,Natal Sharks,3,31,New Zealand,6/23/1928
1928,South Africa,17,0,New Zealand,6/30/1928
1928,Northern Provinces,18,18,New Zealand,7/7/1928
1928,Rhodesia,8,44,New Zealand,7/14/1928
1928,South Africa,6,7,New Zealand,7/21/1928
1928,Pretoria,6,13,New Zealand,7/24/1928
1928,Free State,11,15,New Zealand,7/28/1928
1928,North Eastern Districts,0,27,New Zealand,8/1/1928
1928,Border,3,22,New Zealand,8/4/1928
1928,Border,3,35,New Zealand,8/8/1928
1928,Eastern Province,3,16,New Zealand,8/11/1928
1928,South Africa,11,6,New Zealand,8/18/1928
1928,South Western Districts,6,12,New Zealand,8/22/1928
1928,Western Province,10,3,New Zealand,8/25/1928
1928,South Africa,5,13,New Zealand,9/1/1928
1928,New Zealand,15,12,Australia,9/5/1928
1928,New Zealand,16,14,Australia,9/8/1928
1928,New Zealand,8,11,Australia,9/15/1928
1928,New Zealand Maori,9,8,Australia,9/22/1928
1928,France,0,6,Ireland,12/31/1928
1929,Scotland,6,3,France,1/19/1929
1929,England,8,3,Wales,1/19/1929
1929,Wales,14,7,Scotland,2/2/1929
1929,England,5,6,Ireland,2/9/1929
1929,Ireland,7,16,Scotland,2/23/1929
1929,Wales,8,3,France,2/25/1929
1929,Ireland,5,5,Wales,3/9/1929
1929,Scotland,12,6,England,3/16/1929
1929,France,6,16,England,4/1/1929
1929,Australia,9,8,New Zealand,7/6/1929
1929,Australia,17,9,New Zealand,7/20/1929
1929,Australia,15,13,New Zealand,7/27/1929
1930,France,7,3,Scotland,1/1/1930
1930,Wales,3,11,England,1/18/1930
1930,Ireland,0,5,France,1/25/1930
1930,Scotland,12,9,Wales,2/1/1930
1930,Ireland,4,3,England,2/8/1930
1930,England,11,5,France,2/22/1930
1930,Scotland,11,14,Ireland,2/22/1930
1930,Wales,15,7,Ireland,3/8/1930
1930,England,0,0,Scotland,3/15/1930
1930,France,0,11,Wales,4/21/1930
1930,Germany,5,0,Spain,5/18/1930
1930,New Zealand,3,6,British & Irish Lions,6/21/1930
1930,New Zealand,13,10,British & Irish Lions,7/5/1930
1930,New Zealand,15,10,British & Irish Lions,7/26/1930
1930,New Zealand,22,8,British & Irish Lions,8/9/1930
1930,Australia,6,5,British & Irish Lions,8/30/1930
1930,British Columbia,3,3,Japan,9/24/1930
1931,France,3,0,Ireland,1/1/1931
